Car Brand,Car Model,Production Year,Mileage,Price,Description,Specs,Timestamp,Location
Nissan,Altima,2005,"445,740 km","3,500",Dubai,GCC Specs,04-03-24 14:49,Dubai
Toyota,Camry,1999,"200,000 km","5,500",Perfect Condition Toyota Camry,GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2006,"366,135 km","5,500",FORD FOCUS,GCC Specs,04-03-24 14:49,Dubai
Toyota,Echo,2005,"200,000 km","6,000","GCC - TOYOTA ECHO 2005 - Manual, Urgent Sale",GCC Specs,04-03-24 14:49,Dubai
Chevrolet,Epica,2009,"250,000 km",6000,Chevrolet Epica,American Specs,45354.94097,Abu Dhabi
Nissan,Sunny,2001,"250,000 km",7000,Nissan Sunny 2001 model,GCC Specs,45354.94097,Abu Dhabi
Honda,Accord,2005,"520,000 km","7,500",HONDA ACCORD 2005,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2008,"610,000 km","7,500",Nissan Altima 2008 model for 7500 AED in Good Condition,American Specs,04-03-24 14:49,Dubai
Ford,Figo,2012,"180,000 km","7,500",2012 Ford Figo.MANUAL GEAR Only 180000 km. RTA passed. Power steering.,GCC Specs,04-03-24 14:49,Dubai
Honda,Accord,2004,"294,160 km","8,000",Car for sell,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2007,"300,000 km","8,000",Nissan altima,GCC Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2007,"358,000 km","8,500",Nissan tiida,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2007,"342,079 km","8,500",Dubai,GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2009,"180,096 km","8,500",FAMILY SIZE FORD FOCUS 2009 WAGON TYPE. GOOD CONDITION.. IS PERFECT IN AND OUT.,GCC Specs,04-03-24 14:49,Dubai
Ford,Figo,2012,"300,000 km","8,500",Ford Figo 2012,GCC Specs,04-03-24 14:49,Dubai
Honda,Accord,2003,"288,000 km","8,700",ظ‡ظ†ظˆط¯ط§ ط§ظƒظˆط±ط¯ ظ…ط§ظ„ظƒ ط§ظˆظ„ ظ„ظ„ط¨ظٹط¹,GCC Specs,04-03-24 14:49,Dubai
Ford,Fusion,2009,"336,000 km",8700,Ford Fusion 2009 Good Condition for Sale,American Specs,45354.94097,Abu Dhabi
Ford,Edge,2007,"354,000 km","8,800",Ford Edge SE 2007 Model Limtid Edition full option panoramic perfect condition Smooth driving,GCC Specs,04-03-24 14:49,Dubai
Honda,Accord,1999,"420,000 km","9,000",Honda Accord 1999,Japanese Specs,04-03-24 14:49,Dubai
Nissan,Altima,2009,"200,000 km","9,000",Nissan Altima,GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2008,"149,581 km","9,000",CAR FOR SALE,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2005,"340,000 km",9000,Altima V6 3.5L GCC Spec with 1 year insurance,GCC Specs,45354.94097,Abu Dhabi
Nissan,Altima,2008,"450,000 km",9000,Nissan Altima 2008,American Specs,45354.94097,Abu Dhabi
Toyota,Camry,2007,"450,000 km","9,500",TOYOTA CAMRY IN GOOD CONDITION URGENT SALE,Other,04-03-24 14:49,Dubai
Honda,Accord,2005,"250,000 km","9,500",Honda Accord - Urgent Sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Pathfinder,2003,"35,000 km","9,500",ط§ظ„ظ‚ط±ظ‡ظˆط¯ ط¯ط¨ظٹ,GCC Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2011,"400,000 km","9,500",Nissan Sunny 2011 Model,Japanese Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2008,"501,500 km","9,500",Nissan Sunny 2008 model for sale in UAE,Japanese Specs,04-03-24 14:49,Dubai
Nissan,Altima,2008,"245,000 km","9,500","Nissan Altima S  for sale only 9,500 AED",American Specs,04-03-24 14:49,Dubai
Ford,Focus,2009,"200,100 km","9,500",FORD-FOCUS 2009,GCC Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2009,"242,000 km","9,850",NISSAN SUNNY-2009 -PASSING TEST DONE-FOR IMMEDIATE SALE-direct from owner,GCC Specs,04-03-24 14:49,Dubai
Toyota,Camry,2005,"366,000 km","10,000",Automatic Toyota camry in very good condition,American Specs,04-03-24 14:49,Dubai
Toyota,Camry,2005,"300,000 km","10,000","TOYOTA CAMRY 2005,AMIRICAN SPACE,GOOD CONDITION",American Specs,04-03-24 14:49,Dubai
Nissan,Versa,2007,"275,600 km","10,000",Used Nissan Versa 2007 - 1.8 L,American Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2009,"250,000 km","10,000",Nissan Sunny,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2015,"130,000 km","10,000",sales,American Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2007,"320,000 km","10,000",NISSAN TIIDA 2007 MODEL GCC SPACE CAR FOR SALE,GCC Specs,04-03-24 14:49,Dubai
Nissan,Pickup,2007,"644,000 km","10,000",NISSAN 4*4 DOUBLE CABIN 2007 PICK UP japan,GCC Specs,04-03-24 14:49,Dubai
Nissan,X-Trail,2004,"376,043 km","10,000",Nissan X-Trail for sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2010,"303,000 km","10,000",Nissan Altima S,GCC Specs,04-03-24 14:49,Dubai
Ford,Fiesta,2012,"220,000 km","10,000",Ford fiesta 2012 Gcc,GCC Specs,04-03-24 14:49,Dubai
